CountLine,CyclomaticStrict,MaxNesting,is_smell
84,11,3,TRUE
7,1,1,FALSE
7,1,1,FALSE
20,3,3,FALSE
10,1,2,FALSE
80,17,6,FALSE
147,23,6,FALSE
164,28,7,FALSE
4,1,1,FALSE
7,2,2,FALSE
7,2,2,FALSE
19,3,3,FALSE
13,3,1,FALSE
20,7,2,FALSE
40,10,3,FALSE
108,43,5,TRUE
136,52,5,TRUE
120,24,4,TRUE
406,127,11,FALSE
4,1,1,FALSE
3,1,1,FALSE
20,3,2,FALSE
143,22,7,TRUE
102,18,10,TRUE
374,87,8,TRUE
3,1,1,FALSE
6,1,1,FALSE
5,1,1,FALSE
7,1,1,FALSE
4,1,1,FALSE
241,55,7,FALSE
38,3,2,TRUE
214,45,6,FALSE
102,22,6,FALSE
3,1,1,FALSE
205,34,6,FALSE
6,1,1,FALSE
6,1,1,FALSE
7,1,1,FALSE
4,1,1,FALSE
18,2,2,TRUE
20,1,1,TRUE
4,1,1,FALSE
4,1,1,FALSE
4,1,1,FALSE
16,2,2,FALSE
284,35,8,FALSE
104,21,8,FALSE
51,4,2,TRUE
169,22,9,TRUE
159,23,6,TRUE
4,1,1,FALSE
3,1,1,FALSE
3,1,1,FALSE
15,3,2,FALSE
3,1,1,FALSE
19,7,3,TRUE
26,5,3,TRUE
164,39,6,TRUE
124,1,1,FALSE
3,1,1,FALSE
4,1,1,TRUE
125,39,7,FALSE
29,2,2,TRUE
6,2,1,FALSE
21,8,3,TRUE
7,2,2,FALSE
3,1,1,FALSE
3,1,1,FALSE
4,1,1,FALSE
49,1,2,FALSE
24,2,3,FALSE
244,41,4,TRUE
176,41,8,TRUE
163,16,8,TRUE
1,1,1,FALSE
1,1,1,FALSE
1,1,1,FALSE
39,7,3,TRUE
30,4,3,FALSE
6,2,1,FALSE
162,22,5,FALSE
18,3,2,FALSE
210,48,7,TRUE
156,13,6,TRUE
3,1,1,FALSE
5,1,1,FALSE
138,25,7,FALSE
119,15,6,TRUE
2,1,1,FALSE
3,1,1,FALSE
3,1,1,FALSE
153,36,4,FALSE
20,5,3,TRUE
4,1,1,FALSE
6,2,1,FALSE
27,8,2,TRUE
1,1,1,FALSE
1,1,1,FALSE
1,1,1,FALSE
438,69,7,FALSE
111,21,6,FALSE
7,2,1,FALSE
3,1,1,FALSE
143,17,6,TRUE
22,2,2,FALSE
3,1,1,FALSE
3,1,1,FALSE
10,2,2,TRUE
171,39,11,TRUE
121,33,10,FALSE
5,1,1,FALSE
9,3,1,FALSE
5,1,1,FALSE
137,7,4,FALSE
235,25,8,TRUE
177,21,9,FALSE
77,7,4,TRUE
120,12,6,FALSE
193,21,7,FALSE
177,20,7,TRUE
6,1,1,FALSE
3,1,1,FALSE
22,1,1,FALSE
47,13,3,TRUE
13,1,1,TRUE
363,47,8,TRUE
119,19,6,TRUE
127,23,7,TRUE
142,26,7,TRUE
157,15,6,TRUE
139,17,7,TRUE
160,26,7,TRUE
391,54,8,TRUE
4,1,1,FALSE
7,2,2,FALSE
32,7,1,TRUE
29,19,2,FALSE
241,36,6,FALSE
14,3,3,FALSE
3,1,1,FALSE
11,2,2,FALSE
46,6,4,TRUE
95,15,6,TRUE
228,29,6,TRUE
106,19,7,TRUE
2,1,1,FALSE
16,2,2,FALSE
33,3,2,FALSE
36,4,3,TRUE
43,7,2,TRUE
135,18,3,TRUE
271,33,6,TRUE
102,15,3,TRUE
115,20,6,TRUE
7,1,1,FALSE
7,1,1,FALSE
31,6,3,FALSE
125,30,6,FALSE
118,40,6,FALSE
216,46,6,FALSE
54,1,1,FALSE
3,1,1,FALSE
4,1,1,FALSE
6,2,2,FALSE
99,15,3,TRUE
45,21,3,TRUE
333,144,6,TRUE
3,1,1,FALSE
3,1,1,FALSE
3,1,1,FALSE
161,20,6,TRUE
41,7,4,FALSE
107,22,6,FALSE
37,1,1,FALSE
51,12,4,TRUE
16,4,1,FALSE
3,1,1,FALSE
3,1,1,FALSE
3,1,1,FALSE
57,8,3,TRUE
103,16,8,FALSE
33,12,3,TRUE
150,11,6,FALSE
217,23,8,FALSE
345,101,6,TRUE
115,26,7,TRUE
150,38,9,TRUE
110,35,6,FALSE
223,49,7,TRUE
103,29,6,TRUE
26,1,1,FALSE
6,1,1,FALSE
5,1,1,FALSE
35,5,3,TRUE
167,24,6,TRUE
194,29,7,TRUE
197,37,7,TRUE
5,1,1,FALSE
3,1,1,FALSE
15,1,2,FALSE
3,1,1,FALSE
167,16,7,TRUE
160,18,7,TRUE
2,1,1,FALSE
4,1,1,FALSE
4,1,1,FALSE
4,1,1,FALSE
56,7,2,TRUE
3,1,1,FALSE
441,89,5,TRUE
223,29,10,FALSE
14,1,1,FALSE
15,3,1,FALSE
14,1,1,FALSE
13,1,1,FALSE
105,25,3,FALSE
346,51,6,FALSE
102,23,6,FALSE
309,55,7,FALSE
367,30,6,TRUE
135,23,6,TRUE
107,33,8,TRUE
152,26,6,TRUE
224,57,6,TRUE
165,11,8,TRUE
646,39,7,TRUE
673,53,8,TRUE
576,55,8,TRUE
12,1,1,FALSE
10,1,1,FALSE
6,1,1,FALSE
239,41,2,TRUE
105,22,6,TRUE
103,26,7,TRUE
145,25,6,TRUE
132,24,6,TRUE
122,25,6,TRUE
143,26,6,TRUE
429,97,7,TRUE
183,42,7,FALSE
3,1,1,FALSE
129,53,6,TRUE
10,2,1,FALSE
18,2,2,TRUE
25,4,2,TRUE
251,66,7,TRUE
4,1,1,FALSE
13,1,1,FALSE
4,1,1,FALSE
39,7,3,TRUE
117,31,6,FALSE
394,92,8,TRUE
102,22,7,FALSE
5,1,1,FALSE
27,1,1,FALSE
3,1,1,FALSE
4,1,1,FALSE
289,34,6,TRUE
150,45,7,TRUE
1,1,1,FALSE
1,1,1,FALSE
54,13,5,TRUE
124,8,6,FALSE
4,1,1,FALSE
5,1,1,FALSE
11,1,1,FALSE
141,6,3,FALSE
152,27,6,TRUE
3,1,1,FALSE
3,1,1,FALSE
4,1,1,FALSE
325,40,7,FALSE
192,43,9,TRUE
118,21,6,TRUE
3,1,1,FALSE
4,1,1,FALSE
4,1,1,FALSE
250,1,3,TRUE
186,29,3,TRUE
28,5,3,TRUE
1134,248,10,TRUE
38,12,2,TRUE
108,23,6,TRUE
204,25,7,TRUE
112,10,6,FALSE
4,1,1,FALSE
183,23,5,TRUE
125,20,8,FALSE
175,26,9,TRUE
6,1,1,FALSE
7,1,1,FALSE
21,1,1,FALSE
101,32,6,FALSE
248,40,6,TRUE
3,1,1,FALSE
206,58,4,TRUE
103,16,3,TRUE
381,150,6,TRUE
126,35,7,TRUE
5,1,1,FALSE
4,1,1,FALSE
128,15,6,FALSE
157,21,7,TRUE
7,2,2,FALSE
4,1,1,FALSE
161,30,5,FALSE
104,15,7,FALSE
193,30,6,FALSE
5,1,1,FALSE
5,2,2,FALSE
5,1,1,FALSE
388,78,7,FALSE
8,2,2,FALSE
11,4,3,FALSE
245,86,10,FALSE
3,1,1,FALSE
3,1,1,FALSE
176,32,4,TRUE
108,19,6,TRUE
4,1,1,FALSE
8,1,1,FALSE
20,3,2,FALSE
21,2,2,FALSE
339,39,6,TRUE
13,2,2,FALSE
